Dataset_1,Dataset_2,JS_Divergence
big_vul.csv,Deving_quemu.csv,0.5793334406582853
big_vul.csv,diverse.csv,0.5355129054078359
big_vul.csv,djuliet_vul.csv,0.676003425598349
big_vul.csv,mix_vul.csv,0.5339160929543049
big_vul.csv,Reveal_vul.csv,0.6757876440597457
big_vul.csv,vul_fun.csv,0.5551134315843151
big_vul.csv,Draper.csv,0.5697416619450251
Deving_quemu.csv,diverse.csv,0.5535768346637975
Deving_quemu.csv,djuliet_vul.csv,0.6574186600777472
Deving_quemu.csv,mix_vul.csv,0.5103617898345367
Deving_quemu.csv,Reveal_vul.csv,0.6851321950546844
Deving_quemu.csv,vul_fun.csv,0.5217961134426834
Deving_quemu.csv,Draper.csv,0.5426941637509606
diverse.csv,djuliet_vul.csv,0.6631705674915148
diverse.csv,mix_vul.csv,0.4983414646184677
diverse.csv,Reveal_vul.csv,0.670740144531143
diverse.csv,vul_fun.csv,0.5236373664710674
diverse.csv,Draper.csv,0.5378926620756372
djuliet_vul.csv,mix_vul.csv,0.6628954174568453
djuliet_vul.csv,Reveal_vul.csv,0.7263519184216783
djuliet_vul.csv,vul_fun.csv,0.654269076910888
djuliet_vul.csv,Draper.csv,0.6593408994994189
mix_vul.csv,Reveal_vul.csv,0.6678541748058994
mix_vul.csv,vul_fun.csv,0.5168053829427159
mix_vul.csv,Draper.csv,0.532827334950728
Reveal_vul.csv,vul_fun.csv,0.6759079099258617
Reveal_vul.csv,Draper.csv,0.6698733598129331
vul_fun.csv,Draper.csv,0.5179202915429167
